question_key,pro_score,language
f119,0.19676214196762143,pt
e026,0.10803571428571429,pt
e265_08,0.33980582524271846,pt
e111_01,0.12850467289719625,pt
e069_13,0.5596608116293156,pt
e015,0.4604758250191865,pt
d054,0.9207175925925926,pt
d001_b,0.9052511415525114,pt
c039,0.7261663286004056,pt
e025,0.6930272108843537,pt
f034,0.9763899466869764,pt
c041,0.6034013605442177,pt
e069_07,0.16198830409356726,pt
e003,0.6452563347083088,pt
e018,0.9216555801921655,pt
e004,0.47789878283151827,pt
e069_06,0.5532527345998849,pt
e114,0.6554232804232805,pt
d026_03,0.38456284153005466,pt
e265_01,0.4657351962741184,pt
e265_03,0.7624419376244194,pt
e037,0.7616279069767442,pt
e263,0.8884934756820878,pt
d059,0.18594791035735916,pt
e069_04,0.3915343915343915,pt
f028,0.6441260744985673,pt
e265_06,0.4920520231213873,pt
e264,0.8799283154121864,pt
e002,0.5344943067649028,pt
f123,0.09112567004169148,pt
f025,0.9211444521981856,pt
e228,0.44783197831978316,pt
e069_11,0.2302325581395349,pt
e226,0.8051378446115288,pt
f132,0.3348101265822785,pt
e227,0.7477535301668806,pt
e265_04,0.8249051833122629,pt
e069_18a,0.4493006993006993,pt
e235,0.7938788257339163,pt
e265_07,0.829126213592233,pt
e069_20,0.5119047619047619,pt
e027,0.35344827586206895,pt
e233,0.7840632603406326,pt
f121,0.5288862418106015,pt
f116,0.1820843091334895,pt
e236,0.23434593924364533,pt
e233b,0.37688772160210116,pt
e001,0.5679611650485437,pt
d081,0.6426553672316384,pt
e224,0.3107836570663094,pt
e069_12,0.13781123335263462,pt
e023,0.3904267589388697,pt
e117,0.8775510204081632,pt
f120,0.11866428145497909,pt
e229,0.7465846994535519,pt
h011,0.23597560975609755,pt
e069_01,0.6881908086096568,pt
c038,0.7926267281105991,pt
e069_02,0.6373365041617123,pt
c001,0.6287878787878788,pt
d026_05,0.9225484072454716,pt
e069_14,0.6266666666666667,pt
f063,0.8945558739255014,pt
e225,0.22821576763485474,pt
e115,0.8099395567494964,pt
e039,0.2437574316290131,pt
e033,0.35115864527629237,pt
e116,0.4438356164383562,pt
d060,0.09751875360646278,pt
e265_05,0.5794392523364486,pt
e069_05,0.35723192019950123,pt
d078,0.21913043478260869,pt
f118,0.3857901726427623,pt
d061,0.5562026790914385,pt
e069_17,0.5232763700648203,pt
e265_02,0.36765827612509533,pt
e035,0.424188790560472,pt
h010,0.24892174984596427,pt
f115,0.2510288065843621,pt
e036,0.3582725060827251,pt
e069_08,0.5020289855072464,pt
f114a,0.12653778558875217,pt
c002,0.8293413173652695,pt
e028,0.3192118226600985,pt
e233a,0.4626569729015202,pt
b008,0.957,pt
h009,0.580373269114991,pt
f117,0.052143684820394,pt
f122,0.20928792569659438,pt
f144_02,0.3208109719737626,pt
e290,0.05056513979773947,pt
f119,0.2804914593946659,da
e026,0.40396530359355637,da
e265_08,0.008912655971479501,da
e111_01,0.8153892036981807,da
e069_13,0.4796923076923077,da
e015,0.501072194424589,da
d054,0.37401574803149606,da
d001_b,0.9958258795468098,da
c039,0.9265017667844523,da
e025,0.7981691368788143,da
f034,0.8669823504089539,da
c041,0.6608488694962317,da
e069_07,0.5027043269230769,da
e003,0.6759170653907496,da
e018,0.7369402985074627,da
e004,0.46445802508845285,da
e069_06,0.8948939982084204,da
e114,0.18181818181818182,da
d026_03,0.20140515222482436,da
e265_01,0.9828199052132701,da
c002_01,0.44523527085804665,da
e265_03,0.3264936632468316,da
e037,0.2826282628262826,da
e263,0.9593544530783025,da
d059,0.08295625942684766,da
e069_04,0.2944360902255639,da
f028,0.37410501193317425,da
e265_06,0.955794504181601,da
e264,0.9392942583732058,da
e002,0.4348107408605629,da
f123,0.24879807692307687,da
f025,0.9689866570501262,da
e228,0.11074705111402361,da
e069_11,0.40791062801932365,da
e226,0.9570405727923628,da
f132,0.5711278195488723,da
e227,0.8069753457606734,da
e265_04,0.0830842797369994,da
e069_18a,0.4661585365853659,da
e235,0.9791044776119403,da
e265_07,0.11117788461538461,da
e069_20,0.7083716651333947,da
e027,0.5665618448637316,da
e233,0.9690660321237359,da
f121,0.8750372800477184,da
f116,0.02233472304943418,da
e236,0.9497457373616512,da
e233b,0.402200488997555,da
e001,0.4242520687460216,da
d081,0.8192024777390631,da
e224,0.6634382566585957,da
e069_12,0.28880097382836273,da
e023,0.6639857015192135,da
e117,0.9741197712910021,da
f120,0.8456035767511177,da
e229,0.8790613718411553,da
h011,0.25405405405405407,da
e069_01,0.6519337016574586,da
c038,0.7256331542594013,da
e069_02,0.7494711393170143,da
c001,0.23209169054441262,da
d026_05,0.28803668195081283,da
e069_14,0.6164174549893195,da
f063,0.25610859728506785,da
e225,0.07550886408404467,da
e115,0.33017715332926084,da
e039,0.14431749849669273,da
e033,0.42691131498470947,da
e116,0.03521974714027694,da
d060,0.024074631357207343,da
e265_05,0.7805605247465712,da
e069_05,0.616580310880829,da
d078,0.11218627154520713,da
f118,0.8589360430364614,da
c001_01,0.026307242611237416,da
e069_18,0.4661585365853659,da
d061,0.10084797092671108,da
e069_17,0.8391566265060241,da
e265_02,0.059178743961352656,da
e035,0.49893907244619584,da
h010,0.23396567299006324,da
f115,0.04319332737563297,da
e036,0.23387343320085596,da
e069_08,0.5786466165413534,da
f114a,0.036970781156827615,da
c002,0.5804123711340207,da
e028,0.36150770988006853,da
e233a,0.5205314009661836,da
b008,0.8744167962674961,da
h009,0.8319377990430622,da
f117,0.006849315068493178,da
f122,0.7689541504345221,da
f144_02,0.1847761194029851,da
e290,0.010460251046025104,da
f119,0.5162533108596196,nl
e026,0.2646454265159301,nl
e265_08,0.024557697385793505,nl
e111_01,0.646040777619725,nl
e069_13,0.3403064947701289,nl
e015,0.49665924276169265,nl
d054,0.5271550727987058,nl
d001_b,0.9762765476728423,nl
c039,0.7683073229291717,nl
e025,0.8649262202043133,nl
f034,0.7565063961182179,nl
c041,0.2747487054523302,nl
e069_07,0.3851816670624555,nl
e003,0.4575208913649025,nl
e018,0.9033381712626996,nl
e004,0.493491124260355,nl
e069_06,0.7288408463661453,nl
e114,0.340979381443299,nl
d026_03,0.03673163418290855,nl
e265_01,0.9448394214268203,nl
c002_01,0.4640168623908461,nl
e265_03,0.30403337969401945,nl
e037,0.4976819656930923,nl
e263,0.8767981438515081,nl
d059,0.09666039510818439,nl
e069_04,0.3652556095304187,nl
f028,0.23082255083179298,nl
e265_06,0.7847508945774841,nl
e264,0.9187311877749479,nl
e002,0.4299649824912456,nl
f123,0.4534825870646766,nl
f025,0.8845401174168297,nl
e228,0.14592998734711093,nl
e069_11,0.4096609382257315,nl
e226,0.9229200652528549,nl
f132,0.5723825423324589,nl
e227,0.7855695176327523,nl
e265_04,0.07920243699806148,nl
e069_18a,0.38127577007033714,nl
e235,0.9638267491670633,nl
e265_07,0.088,nl
e069_20,0.5023485784919653,nl
e027,0.3137254901960784,nl
e233,0.9208316673330668,nl
f121,0.834429309534993,nl
f116,0.0539476730724705,nl
e236,0.8500241896468311,nl
e233b,0.275092936802974,nl
e001,0.47389162561576353,nl
d081,0.8639841314820063,nl
e224,0.621598995395563,nl
e069_12,0.2087321970581368,nl
e023,0.6060122978820315,nl
e117,0.9587628865979382,nl
f120,0.7601606805293006,nl
e229,0.889025389025389,nl
h011,0.3162779628748215,nl
e069_01,0.23493683187560738,nl
c038,0.5095969289827256,nl
e069_02,0.6010834769761143,nl
c001,0.25889046941678523,nl
d026_05,0.21250818598559268,nl
e069_14,0.5242836328314716,nl
f063,0.3367489520260829,nl
e225,0.07757885763000849,nl
e115,0.5194975137398586,nl
e039,0.31739130434782614,nl
e033,0.5003819709702062,nl
e116,0.03226600985221675,nl
d060,0.03615002259376412,nl
e265_05,0.7392301809839409,nl
e069_05,0.4551329853343276,nl
d078,0.08943089430894309,nl
f118,0.8980952380952381,nl
c001_01,0.046547314578005115,nl
e069_18,0.38127577007033714,nl
d061,0.17569111263422435,nl
e069_17,0.6381086142322098,nl
e265_02,0.16955741626794257,nl
e035,0.5136574074074074,nl
h010,0.30525814894123243,nl
f115,0.07761607761607758,nl
e036,0.4652139669204516,nl
e069_08,0.3795898903195041,nl
f114a,0.029466357308584712,nl
c002,0.5924644367550942,nl
e028,0.10945072697899838,nl
e233a,0.43163097199341016,nl
b008,0.9037490987743331,nl
h009,0.7423195999047392,nl
f117,0.026905829596412523,nl
f122,0.8031626150578239,nl
f144_02,0.23754427390791022,nl
e290,0.03470105509964827,nl
f119,0.2485391507596416,en
e026,0.4573820395738204,en
e265_08,0.183399209486166,en
e111_01,0.3253719655442443,en
e069_13,0.30802180685358255,en
e015,0.5469151670951157,en
d054,0.7989172467130704,en
d001_b,0.9478361669242659,en
c039,0.8045619491964748,en
e025,0.8877721943048577,en
f034,0.8532934131736527,en
c041,0.36469344608879495,en
e069_07,0.14168937329700274,en
e003,0.6075604053000779,en
e018,0.8207762557077626,en
e004,0.5053978408636546,en
e069_06,0.6896819239720714,en
e114,0.35064935064935066,en
d026_03,0.15971814445096888,en
e265_01,0.7877007442224834,en
e265_03,0.5912698412698413,en
e037,0.5324020178502133,en
e263,0.7764338665626219,en
d059,0.1580782642386672,en
e069_04,0.30283055447848,en
f028,0.46597061098221193,en
e265_06,0.6914263137099961,en
e264,0.8306010928961749,en
e002,0.7483974358974359,en
f123,0.18696330991412957,en
f025,0.8710407239819005,en
e228,0.23122296500196615,en
e069_11,0.31019775106630476,en
e226,0.8198587127158556,en
f132,0.5091546552395793,en
e227,0.4883903974813065,en
e265_04,0.3227973133148953,en
e069_18a,0.36794315041452824,en
e235,0.8322884012539185,en
