question_key,pro_score
F117,0.0584656495760807
E265_07,0.5955621654602213
E004,0.4972911821095823
E001,0.7040399476806132
D054,0.8617664209944447
E023,0.49302796460655623
E069_01,0.6091712370993624
F132,0.16197492195987995
F121,0.339872414498103
F116,0.08085628231425765
E069_11,0.6099966522395307
E027,0.13333558898674097
E235,0.8876839297543682
E114,0.5181907019688885
C039,0.7645086099288447
E018,0.5756633241098662
D060,0.2624095894805065
E290,0.05694227134336777
H010,0.46444139681285007
E117,0.8765939761849447
E002,0.5632593478187371
E264,0.8411850616357175
F119,0.11882236352706722
E069_12,0.44792766542764667
F028,0.5473928494090171
C002_01,0.7224981040067487
F118,0.2325169756016654
E115,0.576815364338347
E069_13,0.5403598601744573
F144_02,0.35112018574900794
E116,0.360110119371567
E265_04,0.5553232353093575
E025,0.21421475342640758
E265_06,0.6647004559800175
F115,0.12332410443210491
E003,0.6264833998977545
E236,0.6798549183692649
H009,0.7284849325696026
C002,0.7072134567110286
E265_02,0.40767352512588445
E035,0.41221942504617776
E069_06,0.6688172954134545
E069_20,0.5444165960215989
C041,0.6636837419791233
D081,0.3051473977979218
E263,0.7136285395010654
E069_14,0.6778679733145132
E111_01,0.5920877958301183
E069_17,0.673061605284604
D026_03,0.5800860958106411
E036,0.49853412236444467
E026,0.08025224185438684
D001_B,0.968147515450797
E265_05,0.5821023070715869
F123,0.10375461283360855
E039,0.26144241090739795
E233B,0.6012429204775964
E233A,0.6319596940876768
C038,0.7444161174637356
F114A,0.1657237246661724
F063,0.6324990913259498
E069_02,0.8063145525318197
D061,0.5264590479304603
E069_08,0.6515008171504603
E015,0.2961013992478911
E069_07,0.5684411052638398
E069_04,0.5222880599007013
H011,0.3888382746636447
E069_18,0.42011831971533864
D078,0.3969984217375466
C001_01,0.47532321965874424
E265_01,0.6991737471309102
E069_05,0.5326890457430773
E069_18A,0.4906106022940069
F122,0.2865090988739302
D026_05,0.8070471547154364
C001,0.4466013846057927
E037,0.5527926557392827
D059,0.4659920028711473
E265_03,0.625607095323148
F120,0.198571730842061
E265_08,0.3484709595308599
E033,0.5128508802667493
