lnge_iso,question_key,pro_score
da,F120,0.8441041599591297
da,E069_06,0.8793617059128932
da,E116,0.05150969813376359
en,F123,0.19343506116199832
nl,E069_20,0.49495376780817757
da,F114A,0.04613358084102798
en,E265_03,0.5981115421740533
nl,E265_07,0.09443074652782898
pt,E265_01,0.48317919581037055
pt,E069_04,0.39149811430131454
nl,F119,0.5229222001673579
nl,F028,0.22378456994105939
pt,F121,0.5300070027670518
pt,E265_08,0.33164516102706343
da,E004,0.46452018760843383
da,E069_18A,0.4650658655383952
da,E265_07,0.12429801622096304
en,E023,0.5964590175869315
da,F132,0.6224427816145152
en,E069_01,0.549707617516509
nl,D026_05,0.15837038129580452
da,E265_01,0.9802411810445644
pt,D026_03,0.32898146018744284
en,D054,0.8191936778600252
pt,E018,0.7419070025936318
pt,C002_01,0.6008503406929266
nl,E265_01,0.9407122783839608
en,F144_02,0.40322543070759925
da,E069_17,0.8131141110448252
en,E001,0.7301609766251873
nl,F117,0.0309061679973895
pt,D001_B,0.9072718739568156
nl,E069_12,0.20417081864952286
da,E069_01,0.6100393391057135
da,E069_13,0.46951983798825475
nl,E265_03,0.3162645696701133
pt,E035,0.576693776346377
nl,E018,0.7450930523090027
nl,C041,0.19158832939108297
en,E039,0.15526818734519005
pt,C038,0.6889843612797208
nl,E026,0.11650159276911157
nl,E002,0.43708585753448514
nl,E069_18A,0.3750896660272781
nl,E233A,0.4403876838906123
nl,E265_04,0.0852058867681771
en,F117,0.0520615861851318
pt,E027,0.21988494176381068
da,D026_05,0.24832471625952723
da,E069_12,0.28221591922333983
nl,E069_08,0.36583834175518704
pt,E036,0.35556696441602337
nl,E069_06,0.7221976298866151
en,E018,0.6367645875192293
pt,E039,0.2417231183946512
da,E035,0.5269733818588378
pt,E069_01,0.6821433445230259
nl,F121,0.830701768412794
pt,C002,0.6388370991039606
en,C039,0.6453687961420121
da,E036,0.22467322086546704
nl,E116,0.036778156107341635
en,E235,0.8425306443977337
pt,E069_11,0.2365897977495103
en,E069_20,0.5034161813915009
en,F115,0.12389048281406753
pt,E115,0.8023305229168675
pt,D059,0.18489994048394484
nl,E003,0.45967984655941896
en,E069_02,0.7601056096752815
da,E069_05,0.6336432678520107
da,E233B,0.4020594114501075
pt,F115,0.24151168037760812
nl,D061,0.1768973264276285
nl,E027,0.14850818283089656
en,E116,0.21708264531247126
nl,E265_06,0.7778915075455443
da,F122,0.8005475429362302
nl,E235,0.9593738458048953
da,E069_18,0.4650658655383952
pt,H009,0.5790120585465588
pt,H011,0.2370357810041569
en,H010,0.28033635051337263
nl,E025,0.5238728748938158
pt,F028,0.6301417673577214
da,E290,0.013147887978869245
en,E114,0.3773012054461064
pt,E069_07,0.16987948521816254
en,F114A,0.1013430498409604
pt,E233A,0.4724190879553101
pt,F132,0.3322206216684097
en,E117,0.8717643858972538
nl,D001_B,0.975014428366758
da,D081,0.6756951649947383
en,E004,0.5161187497132195
nl,E069_07,0.36847390027128674
da,D054,0.42395588160706377
da,E069_14,0.6333280749335841
da,E027,0.33080380466703935
pt,D078,0.2160870045312203
en,C002,0.5014062534062125
en,F118,0.49768347054522016
nl,C002_01,0.3677039658485137
en,D061,0.23216862901618635
