cntry_an,question_key,pro_score,lnge_iso
BR,D026_03,0.32388537123723465,pt
BR,F117,0.05167399119113574,pt
CA,F120,0.6505800620278794,en
GB,F144_02,0.379318396493726,en
GB,E035,0.4527819898003061,en
US,E003,0.6325235819937348,en
SG,E290,0.019339595520588098,en
NIR,E069_07,0.12276194504722772,en
NIR,E069_01,0.46970740210068906,en
NL,F116,0.05571061126339152,nl
NIR,E001,0.47925360407113426,en
NG,E265_02,0.493340596440834,en
US,E069_01,0.5372741195304181,en
AU,E039,0.15323179409940754,en
NL,E069_02,0.6036363677053496,nl
AU,E004,0.4592467765271452,en
DK,E035,0.5269733818588378,da
NL,F144_02,0.2501515389823547,nl
SG,E026,0.0219890806006375,en
NZ,D001_B,0.984481086323958,en
SG,E069_17,0.8230639908385976,en
NZ,E290,0.04120603015075435,en
CA,E069_06,0.6850363602887628,en
SG,D026_05,0.8083810081317688,en
CA,E069_07,0.44271400703656955,en
NIR,E069_13,0.3229230028934883,en
SG,E015,0.29361956058814925,en
GB,E265_08,0.060049708074754536,en
CA,D060,0.06863719270219186,en
SG,F117,0.018122352256840033,en
NG,E265_03,0.6983010199148276,en
SG,E004,0.5586633789296234,en
US,E069_07,0.15086952902401612,en
BR,E018,0.7354047014141001,pt
NZ,E263,0.9305689488910348,en
GB,F063,0.34063205828887155,en
AU,E290,0.054888692804530334,en
NG,E004,0.6202638511041743,en
US,F122,0.44794879023792317,en
CA,E018,0.44369665691531723,en
NZ,E002,0.368656716417909,en
GB,E264,0.8346653421759638,en
NG,E001,0.7691906375289232,en
GB,H010,0.31728909060883514,en
GB,F114A,0.04302301163251615,en
NZ,E069_07,0.4251805985552202,en
SG,E069_14,0.7211711629729276,en
NL,F121,0.830701768412794,nl
AU,F114A,0.07078698151634112,en
PT,C002,0.6008503406929266,pt
SG,D060,0.1761971057304845,en
CA,E035,0.4741313448804265,en
KE,E115,0.6517857142856954,en
US,E027,0.16837539815271582,en
NZ,E036,0.2535059331175871,en
PT,F121,0.5471637009165543,pt
US,E263,0.7667223059542942,en
NG,C038,0.8681011275718455,en
BR,E004,0.47550829064989825,pt
NG,E039,0.22311701249840946,en
AU,E264,0.9135354762294111,en
GB,E033,0.3278544163586864,en
NG,H011,0.4873470860680699,en
SG,E003,0.6762894416859289,en
BR,E265_03,0.7635289493109294,pt
CA,C002,0.36875927429942074,en
CA,E002,0.48397659718212555,en
AU,E116,0.10834068506890746,en
KE,H009,0.5876120619396732,en
BR,D078,0.22074062177981743,pt
CA,F122,0.6118767317936727,en
NIR,E069_14,0.7002031931858036,en
KE,F028,0.8972929936305678,en
DK,E069_13,0.46951983798825475,da
KE,D026_05,0.8295003965106967,en
PT,F063,0.7054332557127774,pt
US,E069_04,0.2974173195187703,en
NIR,E236,0.5546347208280019,en
SG,D081,0.28643694672119385,en
NL,C039,0.5730036862861869,nl
DK,E265_05,0.7673430609693674,da
PT,E116,0.16276730227972755,pt
US,E069_11,0.3365244832950204,en
NG,E233B,0.8252768981466322,en
NIR,E069_02,0.6803738891079626,en
AU,E069_02,0.8267970029998502,en
NIR,E027,0.2632217877592702,en
DK,E025,0.5317607017690518,da
BR,F122,0.2105115424870751,pt
GB,D059,0.10370028794128,en
NL,E236,0.840944418032227,nl
BR,E069_20,0.5095641109591516,pt
DK,E069_01,0.6100393391057135,da
SG,E265_02,0.32129780939358293,en
SG,E233A,0.4427318144107087,en
GB,F119,0.2826050072959338,en
BR,F132,0.34220820501366617,pt
BR,E069_17,0.5221184584061008,pt
NZ,E235,0.9457593688362943,en
BR,E263,0.8848060941959978,pt
PT,E069_11,0.3517856608468993,pt
PT,E026,0.03464899750724339,pt
AU,E027,0.19025829991976712,en
GB,E027,0.1914299064618611,en
NG,E069_02,0.5505794005425623,en
NG,D078,0.6442471870668789,en
CA,F028,0.2522499102597121,en
US,E025,0.6029837987227725,en
KE,E069_05,0.4382665576451229,en
NIR,E069_12,0.09422240090132646,en
NZ,E233A,0.24700000000000444,en
CA,D026_03,0.10965124990035902,en
NIR,E069_18A,0.4425087149356834,en
KE,E114,0.5599675850891246,en
NL,E233A,0.4403876838906123,nl
NIR,F120,0.3865309041870761,en
PT,H009,0.5770516056671091,pt
CA,E265_07,0.40889276845853323,en
KE,E069_01,0.798092209856905,en
GB,E263,0.8106171301818809,en
SG,C002_01,0.7904842820005812,en
US,F144_02,0.48199179284937727,en
NIR,F115,0.08571587840478963,en
CA,C001_01,0.05743645946975142,en
NL,E115,0.5416791628981019,nl
KE,E265_04,0.7857720291026562,en
AU,F132,0.6089624844484717,en
NZ,D059,0.06458333333333423,en
CA,E003,0.5172274212489489,en
US,E069_12,0.11280414598177108,en
NZ,F115,0.07594936708860893,en
US,C038,0.4444574199595962,en
PT,D026_05,0.7904397764486039,pt
CA,E114,0.24165346328188708,en
NZ,D026_05,0.2578361981799844,en
NG,E069_06,0.27024117973511846,en
DK,E033,0.3917291110496493,da
US,F114A,0.11826535483823902,en
CA,F063,0.4451145177465315,en
GB,H009,0.7888598894493881,en
BR,E265_07,0.8281470890915853,pt
NL,E116,0.036778156107341635,nl
BR,E069_08,0.498625689647465,pt
NL,H009,0.730066092456943,nl
PT,F123,0.05361133474477872,pt
NG,F121,0.11353381603772716,en
KE,E233A,0.3914100486223556,en
US,C039,0.5901202500584642,en
NIR,E290,0.02587390852279738,en
CA,E001,0.5984757311147317,en
NG,F118,0.02682308947845761,en
NG,H010,0.4973605858668078,en
KE,D078,0.32291666666665814,en
KE,E069_04,0.626602564102545,en
NIR,H011,0.25022870576247674,en
PT,E001,0.7262124882710477,pt
CA,E069_13,0.3753086037465949,en
NG,E069_17,0.4354732729915615,en
PT,E069_18A,0.6520723817685209,pt
CA,F114A,0.10188660868969437,en
BR,E036,0.35732589090523015,pt
NG,E018,0.907891247270092,en
NZ,E023,0.6889534883721065,en
GB,E069_02,0.8459775292419915,en
PT,F116,0.05368522610268644,pt
KE,E265_05,0.6479217603911789,en
NIR,C041,0.20047823641659504,en
KE,E025,0.15979814970563247,en
SG,D059,0.3097494951561837,en
US,E069_20,0.4447651380523506,en
GB,E233B,0.42831655292435333,en
SG,E069_20,0.5368603298788011,en
PT,E069_04,0.5134678583552196,pt
DK,E036,0.22467322086546704,da
US,E033,0.4019626963604601,en
KE,E069_06,0.3597756410256312,en
NL,E027,0.14850818283089656,nl
PT,E233B,0.5329638632946233,pt
NIR,F132,0.5133658227202427,en
GB,E265_04,0.2082157965352293,en
SG,E116,0.09511447811666365,en
NG,E111_01,0.3280984026664708,en
PT,E069_17,0.5081988082814899,pt
NZ,E069_12,0.21627188465499808,en
SG,C002,0.7904842820005812,en
KE,E265_06,0.37947882736155336,en
US,E069_17,0.5781874796295011,en
SG,D001_B,0.9805674248194285,en
KE,C001,0.3679619349722339,en
NIR,E265_02,0.1414233066531802,en
SG,F144_02,0.36375476181555016,en
US,E002,0.7523413834131182,en
GB,E111_01,0.4500387591468858,en
DK,E115,0.39925611354891205,da
SG,C041,0.38947696178209334,en
PT,D026_03,0.4332296886483625,pt
DK,H010,0.232392651881909,da
NZ,E069_17,0.714855433698916,en
US,C002,0.45316025593926007,en
US,E115,0.5255226979453,en
SG,H009,0.6641012878362176,en
SG,C001,0.27898430231039056,en
BR,E265_05,0.5805018256007574,pt
NZ,F144_02,0.34532374100720087,en
US,C001,0.05209884177490166,en
GB,E069_07,0.2830737088418059,en
GB,D060,0.03838369423609211,en
PT,D001_B,0.9597689151120959,pt
NIR,E069_04,0.13239826770744256,en
NG,E069_20,0.5790478750032069,en
NZ,E069_14,0.6348373557187964,en
CA,E026,0.263582655916419,en
NIR,E069_11,0.1879270126978895,en
AU,E035,0.3983849384329345,en
BR,F119,0.1990621734140225,pt
GB,F116,0.03950419681394864,en
CA,E265_03,0.5092138103144109,en
SG,E039,0.1737400872390397,en
AU,D026_03,0.11861452984265805,en
NL,E025,0.5238728748938158,nl
NG,E025,0.07766911212737257,en
PT,D061,0.46128943896018754,pt
KE,E069_20,0.6763485477178244,en
BR,E265_04,0.8262897484283034,pt
AU,F116,0.060863021490658316,en
NIR,C001_01,0.04937283438073652,en
NZ,F117,0.01363193768257081,en
DK,E069_18A,0.4650658655383952,da
NL,E069_14,0.5195428951157942,nl
NL,E114,0.35559283798471214,nl
NL,H010,0.29280225046034053,nl
NZ,E265_02,0.05504587155963306,en
KE,E265_03,0.5455291222313217,en
NIR,E116,0.10770964859864174,en
NG,E265_08,0.7467752595496585,en
DK,F121,0.8789167457137034,da
NG,H009,0.7303232616979278,en
NIR,F028,0.474214873442926,en
US,F028,0.47467935406792117,en
PT,E111_01,0.5581111485240557,pt
AU,D061,0.258586211528992,en
AU,C039,0.6109420766752186,en
AU,E265_05,0.5768642417474732,en
NZ,E114,0.17091295116773,en
KE,E111_01,0.4145367412140457,en
NIR,D059,0.06159949987376867,en
NG,E002,0.6598201968480542,en
NIR,C001,0.04937283438073652,en
PT,E233A,0.6806470370192864,pt
BR,E069_01,0.6859493085439595,pt
PT,E069_08,0.5074024622804738,pt
NZ,F121,0.7852822580645258,en
AU,H010,0.3013993205505739,en
SG,F063,0.6314614184600675,en
NL,E001,0.4772650868465443,nl
SG,E002,0.6666706155915065,en
AU,E069_01,0.3144645431604617,en
GB,E004,0.5045214963053802,en
NG,E236,0.5028958767183644,en
AU,E026,0.162574249996421,en
NZ,D060,0.028254288597376782,en
NZ,E035,0.39632277834525836,en
AU,F063,0.3793694116095946,en
SG,E069_13,0.6015895582484231,en
US,E023,0.6473460985141661,en
BR,F115,0.2516204361006235,pt
SG,E264,0.8493369049191529,en
KE,F120,0.2736928104575098,en
CA,E069_05,0.4282287263151218,en
SG,C039,0.6847447523441631,en
PT,E069_20,0.6767133096132658,pt
CA,F121,0.7425893409165304,en
NIR,E025,0.7435805074196944,en
NG,F119,0.030919836233494768,en
BR,E069_05,0.35609881014723105,pt
NL,F132,0.5851976689233103,nl
GB,E069_04,0.13466222018179638,en
GB,C002_01,0.34321637626919865,en
NZ,E069_08,0.5435244161358921,en
SG,E236,0.7589088555502443,en
PT,E265_03,0.6518986070628803,pt
NG,E263,0.8438868501592713,en
NL,E033,0.5038262946116576,nl
NZ,E116,0.024033437826541573,en
US,E233A,0.2714418391498488,en
AU,E069_08,0.4898716239883968,en
KE,F123,0.20280296784830595,en
PT,F115,0.03576392814692329,pt
PT,D078,0.11210803106766597,pt
NL,E235,0.9593738458048953,nl
DK,D001_B,0.9960695182644966,da
NG,C039,0.8991081052166252,en
CA,F116,0.11963949146473453,en
CA,E039,0.24292533039612527,en
US,D060,0.09850775603542374,en
SG,D054,0.8627009256528522,en
BR,E233B,0.3734465584438777,pt
PT,D054,0.7581033084393346,pt
AU,E265_04,0.23723013280572222,en
AU,E233A,0.27985268281600223,en
NL,E264,0.9107314857515767,nl
NIR,E069_17,0.6391033113991472,en
DK,E233A,0.5027664029422978,da
DK,E265_06,0.927446798922549,da
SG,E114,0.31465765851112215,en
SG,E069_05,0.5392809327848301,en
NL,H011,0.3027244291752469,nl
GB,F028,0.24862216062831777,en
GB,F132,0.5053612379334192,en
