cntry_an,question_key,pro_score,language
AU,e114,0.2591743119266055,en
AU,e228,0.16542644533485973,en
AU,e069_01,0.34203220433092724,en
AU,e117,0.9254159495123351,en
AU,f118,0.702103467879477,en
AU,d001_b,0.9783573806881243,en
AU,e004,0.45531197301854975,en
AU,e265_05,0.5943775100401606,en
AU,e179_wvs7,1.0,en
AU,e227,0.5895821408128219,en
AU,c001_01,0.08047493403693931,en
AU,f121,0.7580553985302431,en
AU,e226,0.8870507701083856,en
AU,f144_02,0.35558048233314643,en
AU,h011,0.3344462993878687,en
AU,f122,0.6632653061224489,en
AU,e233b,0.3967704728950404,en
AU,e026,0.4167650531286895,en
AU,d078,0.09162011173184358,en
AU,e069_07,0.3,en
AU,c002_01,0.5691166554281861,en
AU,e069_17,0.6060436485730274,en
AU,e265_02,0.12624196376388078,en
AU,e069_05,0.28266965787997755,en
AU,f028,0.2885682574916759,en
AU,e023,0.609322974472808,en
AU,f114a,0.054565701559020074,en
AU,e069_08,0.4764044943820225,en
AU,e233,0.8856004553215708,en
AU,e025,0.9636963696369637,en
AU,f117,0.023982152816508617,en
AU,f132,0.5342776203966005,en
AU,b008,1.0,en
AU,d026_03,0.1338235294117647,en
AU,e111_01,0.5745515695067265,en
AU,e069_20,0.5559954751131222,en
AU,e069_06,0.8363028953229399,en
AU,f123,0.28094968908988127,en
AU,e290,0.04094223219293325,en
AU,f116,0.045226130653266305,en
AU,c039,0.8001502629601803,en
AU,d061,0.24509254066180594,en
AU,e265_01,0.944538766270515,en
AU,e069_13,0.34963462619449126,en
AU,f034,0.6644486692015209,en
AU,c001,0.29975429975429974,en
AU,e265_03,0.4502890173410405,en
AU,f025,0.554147465437788,en
AU,d059,0.11017897091722595,en
AU,e265_08,0.03863898500576701,en
AU,f120,0.6175972927241963,en
AU,e116,0.07903780068728522,en
AU,c041,0.27076064200976974,en
AU,f115,0.06819452207937393,en
AU,c038,0.6296296296296297,en
AU,e015,0.6360153256704981,en
AU,e037,0.5482970407593524,en
AU,e264,0.9423937360178971,en
AU,e265_04,0.19872167344567113,en
AU,e115,0.5290396779758482,en
AU,e039,0.15625,en
AU,e035,0.5835662381218558,en
AU,e002,0.5612939841089671,en
